cifname,value1,value2
T3_303_NH2_SH_H_H-L2_213_CHO_H_H-HCB_A-AA,2.203,0.3033851779
T3_303_NH2_Br_H_H-L2_214_CHO_H_H-HCB_A-AA,1.612,0.1457466094
T3_303_NH2_NO2_H_H-L2_207_CHO_H_H-HCB_A-AA,2.712,0.1216857312
T3_303_NH2_SO2H_H_H-L2_214_CHO_H_H-HCB_A-AA,1.87,0.1374049897
T3_303_NH2_NH2_H_H-L2_211_CHO_H_H-HCB_A-AA,1.731,0.1268635037
T3_303_NH2_NH2_H_H-L2_207_CHO_H_H-HCB_A-AA,2.226,0.1892674276
T3_303_NH2_CHS_H_H-L2_216_CHO_H_H-HCB_A-AA,1.898,0.2764385905
T3_303_NH2_OMe_H_H-L2_213_CHO_H_H-HCB_A-AA,2.815,0.2381138172
T3_303_NH2_OCOCH3_H_H-L2_209_CHO_H_H-HCB_A-AA,5.548,0.3919128053
T3_303_NH2_I_H_H-L2_207_CHO_H_H-HCB_A-AA,2.263,0.1972034918
T3_303_NH2_CHO_H_H-L2_203_CHO_H_H-HCB_A-AA,2.827,0.1828581354
T3_303_NH2_NH2_H_H-L2_216_CHO_H_H-HCB_A-AA,1.69,0.1065239136
T3_303_NH2_CH3_H_H-L2_207_CHO_H_H-HCB_A-AA,3.115,0.2127310945
T3_303_NH2_H_H_H-L2_202_CHO_H_H-HCB_A-AA,1.712,0.2259756077
T3_303_NH2_CHO_H_H-L2_210_CHO_H_H-HCB_A-AA,1.951,0.1124537008
T3_303_NH2_NO2_H_H-L2_215_CHO_H_H-HCB_A-AA,1.778,0.0633937756
T3_303_NH2_EPO_H_H-L2_212_CHO_H_H-HCB_A-AA,3.653,0.1904445256
T3_303_NH2_CHO_H_H-L2_201_CHO_H_H-HCB_A-AA,2.731,0.2009198919
T3_303_NH2_NH2_H_H-L2_201_CHO_H_H-HCB_A-AA,2.519,0.1454687571
T3_303_NH2_COOH_H_H-L2_207_CHO_H_H-HCB_A-AA,2.681,0.2065929713
T3_303_NH2_NO2_H_H-L2_202_CHO_H_H-HCB_A-AA,2.048,0.1631475771
T3_303_NH2_I_H_H-L2_204_CHO-HCB_A-AA,1.07,0.0482816553
T3_303_NH2_COOH_H_H-L2_206_CHO_H_H-HCB_A-AA,2.402,0.2521274396
T3_303_NH2_COOH_H_H-L2_201_CHO_H_H-HCB_A-AA,2.741,0.1478985483
T3_303_NH2_H_H_H-L2_213_CHO_H_H-HCB_A-AA,2.15,0.1042387076
T3_303_NH2_F_H_H-L2_216_CHO_H_H-HCB_A-AA,1.644,0.0956008616
T3_303_NH2_Br_H_H-L2_217_CHO_H_H-HCB_A-AA,2.795,0.1613904423
T3_303_NH2_F_H_H-L2_211_CHO_H_H-HCB_A-AA,1.803,0.0890486109
T3_303_NH2_SO2H_H_H-L2_213_CHO_H_H-HCB_A-AA,2.353,0.1063066654
T3_303_NH2_CH3_H_H-L2_212_CHO_H_H-HCB_A-AA,3.398,0.2476170215
T3_303_NH2_SH_H_H-L2_209_CHO_H_H-HCB_A-AA,2.708,0.1577442307
T3_303_NH2_OCOCH3_H_H-L2_206_CHO_H_H-HCB_A-AA,3.667,0.3690514254
T3_303_NH2_Br_H_H-L2_208_CHO_H_H-HCB_A-AA,2.271,0.1508009462
T3_303_NH2_NH2_H_H-L2_208_CHO_H_H-HCB_A-AA,2.204,0.2212717542
T3_303_NH2_OMe_H_H-L2_201_CHO_H_H-HCB_A-AA,3.164,0.2004879398
T3_303_NH2_NO2_H_H-L2_204_CHO-HCB_A-AA,1.186,0.1616528466
T3_303_NH2_OMe_H_H-L2_209_CHO_H_H-HCB_A-AA,3.848,0.1950424001
T3_303_NH2_COOH_H_H-L2_202_CHO_H_H-HCB_A-AA,1.899,0.1228517224
T3_303_NH2_H_H_H-L2_214_CHO_H_H-HCB_A-AA,1.617,0.1014854878
