cifname,value1,value2
T3_303_NH2_NH2_H_H-L2_206_CHO_H_H-HCB_A-AA,2.6640625,25.80354
T3_303_NH2_NH2_H_H-L2_207_CHO_H_H-HCB_A-AA,4.21484375,29.58964
T3_303_NH2_NH2_H_H-L2_208_CHO_H_H-HCB_A-AA,4.08203125,29.58964
T3_303_NH2_NH2_H_H-L2_209_CHO_H_H-HCB_A-AA,4.11328125,27.92707
T3_303_NH2_NH2_H_H-L2_210_CHO_H_H-HCB_A-AA,3.923828125,22.58019
T3_303_NH2_NH2_H_H-L2_211_CHO_H_H-HCB_A-AA,3.513671875,19.16605
T3_303_NH2_NH2_H_H-L2_212_CHO_H_H-HCB_A-AA,4.11328125,27.97925
T3_303_NH2_NH2_H_H-L2_213_CHO_H_H-HCB_A-AA,3.990234375,26.42579
T3_303_NH2_NH2_H_H-L2_214_CHO_H_H-HCB_A-AA,3.53125,22.58025
T3_303_NH2_NH2_H_H-L2_215_CHO_H_H-HCB_A-AA,4.98828125,22.58023
T3_303_NH2_NH2_H_H-L2_216_CHO_H_H-HCB_A-AA,2.67578125,22.58019
T3_303_NH2_NH2_H_H-L2_217_CHO_H_H-HCB_A-AA,4.20703125,28.16151
T3_303_NH2_NO2_H_H-L2_201_CHO_H_H-HCB_A-AA,4.41796875,29.76491
T3_303_NH2_NO2_H_H-L2_202_CHO_H_H-HCB_A-AA,4.37890625,23.06869
T3_303_NH2_NO2_H_H-L2_203_CHO_H_H-HCB_A-AA,4.3984375,29.73015
T3_303_NH2_NO2_H_H-L2_204_CHO-HCB_A-AA,2.44921875,16.50176
T3_303_NH2_NO2_H_H-L2_205_CHO_H_H-HCB_A-AA,4.421875,25.61645
T3_303_NH2_NO2_H_H-L2_206_CHO_H_H-HCB_A-AA,4.48046875,25.95779
T3_303_NH2_NO2_H_H-L2_207_CHO_H_H-HCB_A-AA,4.3515625,29.73015
T3_303_NH2_NO2_H_H-L2_208_CHO_H_H-HCB_A-AA,19.046875,29.73015
T3_303_NH2_NO2_H_H-L2_209_CHO_H_H-HCB_A-AA,4.30859375,28.07530
T3_303_NH2_NO2_H_H-L2_210_CHO_H_H-HCB_A-AA,3.876953125,22.63579
T3_303_NH2_NO2_H_H-L2_211_CHO_H_H-HCB_A-AA,6.16015625,19.36185
T3_303_NH2_NO2_H_H-L2_212_CHO_H_H-HCB_A-AA,4.390625,28.12723
T3_303_NH2_NO2_H_H-L2_213_CHO_H_H-HCB_A-AA,4.4921875,26.58176
T3_303_NH2_NO2_H_H-L2_214_CHO_H_H-HCB_A-AA,5.984375,22.63728
T3_303_NH2_NO2_H_H-L2_215_CHO_H_H-HCB_A-AA,3.357421875,22.63372
T3_303_NH2_NO2_H_H-L2_216_CHO_H_H-HCB_A-AA,4.47265625,22.63579
T3_303_NH2_NO2_H_H-L2_217_CHO_H_H-HCB_A-AA,4.50390625,28.30860
T3_303_NH2_NO_H_H-L2_201_CHO_H_H-HCB_A-AA,2.5625,29.62455
T3_303_NH2_NO_H_H-L2_202_CHO_H_H-HCB_A-AA,1.978515625,23.11046
T3_303_NH2_NO_H_H-L2_203_CHO_H_H-HCB_A-AA,5.40625,29.58964
T3_303_NH2_NO_H_H-L2_204_CHO-HCB_A-AA,1.51953125,16.94296
T3_303_NH2_NO_H_H-L2_205_CHO_H_H-HCB_A-AA,4.390625,25.45503
T3_303_NH2_NO_H_H-L2_206_CHO_H_H-HCB_A-AA,2.55078125,25.80354
T3_303_NH2_NO_H_H-L2_207_CHO_H_H-HCB_A-AA,4.3203125,29.58964
T3_303_NH2_NO_H_H-L2_208_CHO_H_H-HCB_A-AA,6.4453125,29.58964
T3_303_NH2_NO_H_H-L2_209_CHO_H_H-HCB_A-AA,4.390625,27.92707
T3_303_NH2_NO_H_H-L2_210_CHO_H_H-HCB_A-AA,3.568359375,22.58019
T3_303_NH2_NO_H_H-L2_211_CHO_H_H-HCB_A-AA,3.404296875,19.16605
T3_303_NH2_NO_H_H-L2_212_CHO_H_H-HCB_A-AA,5.125,27.97925
T3_303_NH2_NO_H_H-L2_213_CHO_H_H-HCB_A-AA,4.57421875,26.42579
T3_303_NH2_NO_H_H-L2_214_CHO_H_H-HCB_A-AA,2.587890625,22.58025
T3_303_NH2_NO_H_H-L2_215_CHO_H_H-HCB_A-AA,2.896484375,22.58023
T3_303_NH2_NO_H_H-L2_216_CHO_H_H-HCB_A-AA,1.8193359375,22.58019
T3_303_NH2_NO_H_H-L2_217_CHO_H_H-HCB_A-AA,4.3828125,28.16151
T3_303_NH2_OCOCH3_H_H-L2_201_CHO_H_H-HCB_A-AA,4.64453125,29.04314
T3_303_NH2_OCOCH3_H_H-L2_202_CHO_H_H-HCB_A-AA,4.41796875,21.18694
T3_303_NH2_OCOCH3_H_H-L2_203_CHO_H_H-HCB_A-AA,4.37109375,28.91244
T3_303_NH2_OCOCH3_H_H-L2_204_CHO-HCB_A-AA,2.849609375,14.97849
T3_303_NH2_OCOCH3_H_H-L2_205_CHO_H_H-HCB_A-AA,4.39453125,24.80081
T3_303_NH2_OCOCH3_H_H-L2_206_CHO_H_H-HCB_A-AA,4.46875,24.66449
T3_303_NH2_OCOCH3_H_H-L2_207_CHO_H_H-HCB_A-AA,3.9453125,28.91244
T3_303_NH2_OCOCH3_H_H-L2_208_CHO_H_H-HCB_A-AA,4.2109375,28.91244
T3_303_NH2_OCOCH3_H_H-L2_209_CHO_H_H-HCB_A-AA,4.4375,28.28140
