cifname,Fraction,Surface,Volume,Diameter,O2absolute
T3_301_NH2_OH_H_H-L2_201_CHO_H_H-HCB_A-AA,0.53368,2198.34,0.937619,22.24812,1.645
T3_301_NH2_NO_H_H-L2_206_CHO_H_H-HCB_A-AA,0.4672,2152.25,0.71902,18.46437,1.294
T3_301_NH2_OH_H_H-L2_208_CHO_H_H-HCB_A-AA,0.52888,2681.79,1.06111,22.21663,1.556
T3_301_NH2_H_H_H-L2_217_CHO_H_H-HCB_A-AA,0.50312,2608.08,0.959,20.82472,2.318
T3_301_NH2_NH2_H_H-L2_216_CHO_H_H-HCB_A-AA,0.41376,2344.76,0.644762,15.26686,0.988
T3_301_NH2_SO2H_H_H-L2_211_CHO_H_H-HCB_A-AA,0.33254,2320.11,0.460385,12.19508,1.272
T3_301_NH2_Cl_H_H-L2_209_CHO_H_H-HCB_A-AA,0.4719,2194.9,0.778268,20.56711,1.852
T3_301_NH2_CHS_H_H-L2_215_CHO_H_H-HCB_A-AA,0.42554,2930.9,0.760709,15.17354,1.114
T3_301_NH2_F_H_H-L2_208_CHO_H_H-HCB_A-AA,0.53064,2659.25,1.05934,22.21663,1.52
T3_301_NH2_H_H_H-L2_203_CHO_H_H-HCB_A-AA,0.54524,2771.45,1.11372,22.21663,1.827
T3_301_NH2_NH2_H_H-L2_214_CHO_H_H-HCB_A-AA,0.41868,2313.03,0.652429,15.26692,0.961
T3_301_NH2_OMe_H_H-L2_214_CHO_H_H-HCB_A-AA,0.4475,4045.05,0.942458,15.01392,1.257
T3_301_NH2_OMe_H_H-L2_205_CHO_H_H-HCB_A-AA,0.48498,4108.04,1.12183,18.54296,1.98
T3_301_NH2_I_H_H-L2_208_CHO_H_H-HCB_A-AA,0.51554,2026.2,0.81029,22.21663,1.558
T3_301_NH2_OCOCH3_H_H-L2_203_CHO_H_H-HCB_A-AA,0.59226,6488.69,1.7131,21.57669,3.019
T3_301_NH2_CH3_H_H-L2_205_CHO_H_H-HCB_A-AA,0.49182,4397.05,1.19992,18.55539,1.94
T3_301_NH2_SH_H_H-L2_205_CHO_H_H-HCB_A-AA,0.44756,2322.62,0.72417,18.22096,1.569
T3_301_NH2_Cl_H_H-L2_201_CHO_H_H-HCB_A-AA,0.5296,2139.36,0.894393,22.24812,1.695
T3_301_NH2_CHO_H_H-L2_202_CHO_H_H-HCB_A-AA,0.43284,3198.8,0.848819,15.95007,1.187
T3_301_NH2_CHO_H_H-L2_208_CHO_H_H-HCB_A-AA,0.54336,3568.41,1.33629,22.37408,1.709
T3_301_NH2_SH_H_H-L2_214_CHO_H_H-HCB_A-AA,0.41646,2229.8,0.61273,15.26692,1.017
T3_301_NH2_OCOCH3_H_H-L2_212_CHO_H_H-HCB_A-AA,0.53122,6262.91,1.32294,21.1042,3.534
T3_301_NH2_I_H_H-L2_204_CHO-HCB_A-AA,0.26816,1570.46,0.235645,8.42616,0.608
T3_301_NH2_Cl_H_H-L2_204_CHO-HCB_A-AA,0.30154,2333.31,0.392107,9.66353,0.552
T3_301_NH2_CHS_H_H-L2_209_CHO_H_H-HCB_A-AA,0.48998,2997.07,1.00082,20.73589,2.265
T3_301_NH2_OMe_H_H-L2_204_CHO-HCB_A-AA,0.33368,4655.37,0.631594,8.99474,0.791
T3_301_NH2_NH2_H_H-L2_217_CHO_H_H-HCB_A-AA,0.49546,2490.81,0.91184,20.82472,2.092
T3_301_NH2_OH_H_H-L2_212_CHO_H_H-HCB_A-AA,0.46542,2269.51,0.774794,20.64158,1.883
T3_301_NH2_Br_H_H-L2_211_CHO_H_H-HCB_A-AA,0.318,1540.18,0.327432,11.90783,1.126
T3_301_NH2_EPO_H_H-L2_217_CHO_H_H-HCB_A-AA,0.5234,4140.46,1.31952,21.13712,2.673
T3_301_NH2_CHO_H_H-L2_204_CHO-HCB_A-AA,0.32334,3464.03,0.549505,9.65744,0.66
T3_301_NH2_CHS_H_H-L2_216_CHO_H_H-HCB_A-AA,0.42146,3004.92,0.753415,15.17353,1.159
T3_301_NH2_CN_H_H-L2_211_CHO_H_H-HCB_A-AA,0.31372,1722.37,0.368542,11.90783,1.001
T3_301_NH2_OCOCH3_H_H-L2_209_CHO_H_H-HCB_A-AA,0.53804,6315.28,1.37718,21.03121,3.725
T3_301_NH2_NO2_H_H-L2_207_CHO_H_H-HCB_A-AA,0.5472,3555.23,1.31191,22.39933,1.667
T3_301_NH2_SH_H_H-L2_211_CHO_H_H-HCB_A-AA,0.32452,1726.79,0.374323,11.90783,1.228
T3_301_NH2_EPO_H_H-L2_214_CHO_H_H-HCB_A-AA,0.44594,3971.25,0.924345,14.82854,1.334
T3_301_NH2_EPO_H_H-L2_204_CHO-HCB_A-AA,0.33138,4298.81,0.602893,9.00138,0.93
T3_301_NH2_I_H_H-L2_216_CHO_H_H-HCB_A-AA,0.3911,1713.17,0.44016,14.31262,0.977
T3_301_NH2_SO2H_H_H-L2_202_CHO_H_H-HCB_A-AA,0.41728,2996.59,0.750914,14.25839,1.19
T3_301_NH2_NO2_H_H-L2_216_CHO_H_H-HCB_A-AA,0.42894,3144.09,0.787182,15.52143,1.088
T3_301_NH2_H_H_H-L2_215_CHO_H_H-HCB_A-AA,0.42928,2539.26,0.705701,15.2669,1.037
T3_301_NH2_Br_H_H-L2_209_CHO_H_H-HCB_A-AA,0.46932,2014.42,0.709754,20.56711,1.832
T3_301_NH2_CHS_H_H-L2_211_CHO_H_H-HCB_A-AA,0.33958,2392.8,0.479838,12.15739,1.333
T3_301_NH2_Cl_H_H-L2_217_CHO_H_H-HCB_A-AA,0.4931,2336.48,0.868738,20.82472,2.109
T3_301_NH2_OMe_H_H-L2_206_CHO_H_H-HCB_A-AA,0.4999,3844.71,1.09106,18.71923,1.697
T3_301_NH2_I_H_H-L2_207_CHO_H_H-HCB_A-AA,0.51564,2006.26,0.800993,22.21663,1.506
T3_301_NH2_SO2H_H_H-L2_207_CHO_H_H-HCB_A-AA,0.5376,3456.88,1.23323,21.93014,1.758
T3_301_NH2_COOH_H_H-L2_214_CHO_H_H-HCB_A-AA,0.42532,3136.17,0.782188,14.64037,1.07
T3_301_NH2_NO_H_H-L2_215_CHO_H_H-HCB_A-AA,0.41366,2205.87,0.614787,15.2669,0.924
