cifname,Fraction,Surface,Volume,Diameter,O2absolute
T3_301_NH2_SH_H_H-L2_201_CHO_H_H-HCB_A-AA,0.53162,2081.69,0.902314,22.24812,1.8
T3_301_NH2_OMe_H_H-L2_215_CHO_H_H-HCB_A-AA,0.446,4009.12,0.939299,15.01392,1.435
T3_301_NH2_OCOCH3_H_H-L2_205_CHO_H_H-HCB_A-AA,0.51222,6327.64,1.26133,17.53605,4.117
T3_301_NH2_NO2_H_H-L2_212_CHO_H_H-HCB_A-AA,0.48366,3131.48,0.987365,20.83678,2.334
T3_301_NH2_NH2_H_H-L2_206_CHO_H_H-HCB_A-AA,0.46974,2235.0,0.749636,18.47056,1.428
T3_301_NH2_NO2_H_H-L2_215_CHO_H_H-HCB_A-AA,0.43236,3047.39,0.793458,15.52147,1.091
T3_301_NH2_Cl_H_H-L2_212_CHO_H_H-HCB_A-AA,0.46114,2183.13,0.739344,20.64158,2.028
T3_301_NH2_EPO_H_H-L2_210_CHO_H_H-HCB_A-AA,0.438,3972.74,0.912174,14.80323,1.645
T3_301_NH2_OCOCH3_H_H-L2_213_CHO_H_H-HCB_A-AA,0.53346,6372.13,1.38893,18.38414,3.274
T3_301_NH2_EPO_H_H-L2_212_CHO_H_H-HCB_A-AA,0.49594,3934.3,1.1395,20.95645,2.777
T3_301_NH2_OH_H_H-L2_215_CHO_H_H-HCB_A-AA,0.42016,2336.61,0.652508,15.2669,1.096
T3_301_NH2_COOH_H_H-L2_208_CHO_H_H-HCB_A-AA,0.5417,3585.07,1.31871,22.39844,2.073
T3_301_NH2_I_H_H-L2_215_CHO_H_H-HCB_A-AA,0.3954,1650.87,0.445,14.3599,1.023
T3_301_NH2_F_H_H-L2_204_CHO-HCB_A-AA,0.3254,2628.08,0.463112,10.85624,0.56
T3_301_NH2_Br_H_H-L2_211_CHO_H_H-HCB_A-AA,0.318,1540.18,0.327432,11.90783,1.202
T3_301_NH2_OH_H_H-L2_211_CHO_H_H-HCB_A-AA,0.32716,1852.09,0.393605,11.90783,1.324
T3_301_NH2_F_H_H-L2_211_CHO_H_H-HCB_A-AA,0.32932,1861.42,0.394102,11.90783,1.293
T3_301_NH2_CHS_H_H-L2_207_CHO_H_H-HCB_A-AA,0.54084,3407.6,1.2621,22.37408,2.013
T3_301_NH2_CN_H_H-L2_208_CHO_H_H-HCB_A-AA,0.51852,2593.81,1.01726,22.21663,1.554
T3_301_NH2_OCOCH3_H_H-L2_206_CHO_H_H-HCB_A-AA,0.52402,5760.8,1.22142,17.40273,3.391
T3_301_NH2_OCOCH3_H_H-L2_211_CHO_H_H-HCB_A-AA,0.39242,5210.98,0.69024,12.58992,3.385
T3_301_NH2_CH3_H_H-L2_212_CHO_H_H-HCB_A-AA,0.50318,4119.95,1.20764,20.94102,2.693
T3_301_NH2_OCOCH3_H_H-L2_212_CHO_H_H-HCB_A-AA,0.53122,6262.91,1.32294,21.1042,4.997
T3_301_NH2_OMe_H_H-L2_211_CHO_H_H-HCB_A-AA,0.3582,3200.89,0.590572,12.33167,1.659
T3_301_NH2_OCOCH3_H_H-L2_207_CHO_H_H-HCB_A-AA,0.58534,6638.55,1.70431,21.57669,3.974
T3_301_NH2_CH3_H_H-L2_208_CHO_H_H-HCB_A-AA,0.56474,4670.11,1.63495,22.49697,2.525
T3_301_NH2_OH_H_H-L2_202_CHO_H_H-HCB_A-AA,0.41908,2370.83,0.6781,15.79061,1.059
T3_301_NH2_Cl_H_H-L2_211_CHO_H_H-HCB_A-AA,0.32172,1725.58,0.36884,11.90783,1.291
T3_301_NH2_NH2_H_H-L2_210_CHO_H_H-HCB_A-AA,0.40982,2399.65,0.641922,15.26686,1.136
T3_301_NH2_CN_H_H-L2_216_CHO_H_H-HCB_A-AA,0.39568,2330.09,0.595927,14.57963,0.92
T3_301_NH2_I_H_H-L2_203_CHO_H_H-HCB_A-AA,0.5237,2079.69,0.808862,22.21663,1.694
T3_301_NH2_OH_H_H-L2_205_CHO_H_H-HCB_A-AA,0.4504,2430.63,0.761164,18.22096,1.626
T3_301_NH2_Br_H_H-L2_214_CHO_H_H-HCB_A-AA,0.40664,1879.13,0.518726,15.25749,0.969
