cifname,Pore_diameters,GCMC吸附
T3_301_NH2_SH_H_H-L2_204_CHO-HCB_A-AA,10.08851,0.733
T3_301_NH2_SH_H_H-L2_205_CHO_H_H-HCB_A-AA,18.22096,1.755
T3_301_NH2_SH_H_H-L2_206_CHO_H_H-HCB_A-AA,18.47056,1.54
T3_301_NH2_SH_H_H-L2_207_CHO_H_H-HCB_A-AA,22.21663,1.71
T3_301_NH2_SH_H_H-L2_208_CHO_H_H-HCB_A-AA,22.21663,1.754
T3_301_NH2_SH_H_H-L2_209_CHO_H_H-HCB_A-AA,20.56711,2.117
T3_301_NH2_SH_H_H-L2_210_CHO_H_H-HCB_A-AA,15.26686,1.189
T3_301_NH2_SH_H_H-L2_211_CHO_H_H-HCB_A-AA,11.90783,1.353
T3_301_NH2_SH_H_H-L2_212_CHO_H_H-HCB_A-AA,20.64158,2.165
T3_301_NH2_SH_H_H-L2_213_CHO_H_H-HCB_A-AA,19.08362,1.648
T3_301_NH2_SH_H_H-L2_214_CHO_H_H-HCB_A-AA,15.26692,1.195
T3_301_NH2_SH_H_H-L2_215_CHO_H_H-HCB_A-AA,15.2669,1.054
T3_301_NH2_SH_H_H-L2_216_CHO_H_H-HCB_A-AA,15.26686,1.231
T3_301_NH2_SH_H_H-L2_217_CHO_H_H-HCB_A-AA,20.82472,2.48
T3_301_NH2_SO2H_H_H-L2_201_CHO_H_H-HCB_A-AA,22.0622,2.032
T3_301_NH2_SO2H_H_H-L2_202_CHO_H_H-HCB_A-AA,14.25839,1.409
T3_301_NH2_SO2H_H_H-L2_203_CHO_H_H-HCB_A-AA,21.93014,1.956
T3_301_NH2_SO2H_H_H-L2_204_CHO-HCB_A-AA,8.14405,0.845
T3_301_NH2_SO2H_H_H-L2_205_CHO_H_H-HCB_A-AA,17.83952,1.895
T3_301_NH2_SO2H_H_H-L2_206_CHO_H_H-HCB_A-AA,17.69648,1.615
T3_301_NH2_SO2H_H_H-L2_207_CHO_H_H-HCB_A-AA,21.93014,2.066
T3_301_NH2_SO2H_H_H-L2_208_CHO_H_H-HCB_A-AA,21.93014,2.114
T3_301_NH2_SO2H_H_H-L2_209_CHO_H_H-HCB_A-AA,20.76199,2.372
T3_301_NH2_SO2H_H_H-L2_210_CHO_H_H-HCB_A-AA,13.87389,1.35
T3_301_NH2_SO2H_H_H-L2_211_CHO_H_H-HCB_A-AA,12.19508,1.391
T3_301_NH2_SO2H_H_H-L2_212_CHO_H_H-HCB_A-AA,20.83583,2.287
T3_301_NH2_SO2H_H_H-L2_213_CHO_H_H-HCB_A-AA,18.70067,1.761
T3_301_NH2_SO2H_H_H-L2_214_CHO_H_H-HCB_A-AA,13.96804,1.17
T3_301_NH2_SO2H_H_H-L2_215_CHO_H_H-HCB_A-AA,13.96804,1.24
T3_301_NH2_SO2H_H_H-L2_216_CHO_H_H-HCB_A-AA,13.87389,1.245
T3_301_NH2_SO2H_H_H-L2_217_CHO_H_H-HCB_A-AA,21.01744,2.592
