cifname,Pore_diameters,GCMC吸附
T3_301_NH2_OH_H_H-L2_207_CHO_H_H-HCB_A-AA,22.21663,1.67
T3_301_NH2_OH_H_H-L2_208_CHO_H_H-HCB_A-AA,22.21663,1.748
T3_301_NH2_OH_H_H-L2_209_CHO_H_H-HCB_A-AA,20.56711,2.053
T3_301_NH2_OH_H_H-L2_210_CHO_H_H-HCB_A-AA,15.26686,1.138
T3_301_NH2_OH_H_H-L2_211_CHO_H_H-HCB_A-AA,11.90783,1.324
T3_301_NH2_OH_H_H-L2_212_CHO_H_H-HCB_A-AA,20.64158,2.194
T3_301_NH2_OH_H_H-L2_213_CHO_H_H-HCB_A-AA,19.08362,1.538
T3_301_NH2_OH_H_H-L2_214_CHO_H_H-HCB_A-AA,15.26692,0.966
T3_301_NH2_OH_H_H-L2_215_CHO_H_H-HCB_A-AA,15.2669,1.096
T3_301_NH2_OH_H_H-L2_216_CHO_H_H-HCB_A-AA,15.26686,1.069
